,Country,Year,Rank,Total,C1: Security Apparatus,C2: Factionalized Elites,C3: Group Grievance,E1: Economy,E2: Economic Inequality,E3: Human Flight and Brain Drain,P1: State Legitimacy,P2: Public Services,P3: Human Rights,S1: Demographic Pressures,S2: Refugees and IDPs,X1: External Intervention
109,Samoa,2014-01-01,110th,69.3,5.5,5.1,4.8,6.2,5.7,8.9,6.0,5.1,4.8,6.5,2.4,8.3
110,Kazakhstan,2014-01-01,111th,68.5,6.0,7.6,6.5,5.9,5.0,3.9,7.7,4.8,7.2,5.1,3.8,5.0
111,Cyprus,2014-01-01,112th,67.9,4.7,7.9,7.3,6.4,6.7,4.8,5.6,3.3,3.6,4.3,4.2,9.1
112,Ukraine,2014-01-01,113th,67.2,4.7,8.0,6.4,5.5,5.0,5.4,8.0,3.9,6.1,4.5,3.4,6.3
113,Belize,2014-01-01,114th,67.0,5.5,4.3,4.4,5.6,6.5,6.8,6.0,6.1,4.4,6.2,4.6,6.6
114,South Africa,2014-01-01,115th,66.6,4.9,5.6,5.8,5.8,7.7,4.6,5.0,6.1,4.3,7.4,6.2,3.2
115,Macedonia,2014-01-01,116th,66.4,5.7,7.0,7.3,5.9,5.9,5.8,5.8,4.1,4.2,3.8,5.0,5.9
116,Malaysia,2014-01-01,117th,66.2,6.5,7.0,6.2,3.9,5.6,4.8,6.6,4.6,6.9,5.5,4.5,4.1
117,Grenada,2014-01-01,118th,65.2,5.3,5.6,3.9,6.1,5.6,8.2,6.2,3.9,4.0,5.5,3.5,7.4
118,Jamaica,2014-01-01,119th,64.9,6.0,3.7,4.0,6.8,5.8,7.5,5.6,5.6,5.1,5.5,3.3,6.0
119,Bahrain,2014-01-01,120th,64.7,6.2,7.1,7.6,3.5,5.4,3.3,7.9,2.5,7.8,4.9,2.9,5.6
120,Botswana,2014-01-01,121st,64.5,3.2,3.3,5.1,6.4,7.8,5.3,4.1,6.3,4.6,8.0,5.5,4.9
121,Seychelles,2014-01-01,122nd,63.7,6.4,5.7,4.8,4.9,6.3,5.2,6.0,3.5,4.9,5.4,3.4,7.2
122,Albania,2014-01-01,123rd,63.6,5.0,6.2,4.7,5.5,4.5,6.9,6.5,4.8,5.5,4.4,3.4,6.2
123,Brunei Darussalam,2014-01-01,123rd,63.6,5.6,7.4,6.2,3.1,7.8,4.9,7.1,2.5,7.4,4.5,3.0,4.1
124,Brazil,2014-01-01,125th,61.4,5.6,4.9,5.6,3.6,8.0,3.8,5.4,5.6,5.6,6.7,3.6,3.0
125,Trinidad and Tobago,2014-01-01,126th,61.3,5.4,5.6,4.4,4.6,5.8,7.8,5.3,5.1,4.9,5.2,3.3,3.9
